Company,Sector,Ticker,Exchange,Price,Market Cap,PE Ratio,Dividend,ROIC,Debt to Equity
Alcoa Corp,Basic Materials,AA,NYSE,$56.42,$10.56B,12.88,$0.1,11.3%,0.44
Adamant Dri Processing & Minerals Group,Basic Materials,ADMG,OTC,$0.11,$2.1M,0.33,N/A,N/A,0.0
Albemarle Corp,Basic Materials,ALB,NYSE,$222.84,$26.07B,116.67,$1.56,3.2%,0.36
Amyris Inc,Basic Materials,AMRS,NASDAQ,$5.605,$1.73B,N/A,N/A,-105.9%,-3.79
Air Products & Chemicals Inc,Basic Materials,APD,NYSE,$296.28,$65.61B,31.29,$5.84,10.9%,0.56
Ashland Global Holdings Inc,Basic Materials,ASH,NYSE,$103.58,$5.89B,28.53,$1.18,4.9%,0.76
AdvanSix Inc,Basic Materials,ASIX,NYSE,$43.95,$1.24B,8.65,N/A,14.8%,0.49
Golden Minerals Co,Basic Materials,AUMN,NYSEAMERICAN,$0.3701,$60.25M,N/A,N/A,-67.1%,0.0
American Vanguard Corp,Basic Materials,AVD,NYSE,$14.88,$460.29M,20.67,$0.08,7.5%,0.44
Avient Corp,Basic Materials,AVNT,NYSE,$53.25,$4.87B,17.63,$0.88,12.2%,1.1
Avantor Inc,Basic Materials,AVTR,NYSE,$40.56,$24.72B,51.34,N/A,12.5%,1.36
Axalta Coating Systems Ltd,Basic Materials,AXTA,NYSE,$31.26,$7.14B,26.05,N/A,8.3%,2.67
BOISE CASCADE Co,Basic Materials,BCC,NYSE,$64.88,$2.55B,4.49,$0.42,54%,0.41
Balchem Corp,Basic Materials,BCPC,NASDAQ,$165.69,$5.37B,56.94,$0.58,24.7%,0.13
Cabot Corp,Basic Materials,CBT,NYSE,$53.29,$3.03B,12.25,$1.42,13.6%,1.23
Chemours Co,Basic Materials,CC,NYSE,$31.815,$5.18B,13.31,$1,6.8%,4.04
Chase Corp,Basic Materials,CCF,NYSEAMERICAN,$99.99,$945.65M,21.05,$1,52.5%,0.02
Code Chain New Continent Ltd,Basic Materials,CCNC,NASDAQ,$1.02,$47M,N/A,N/A,-428.2%,0.0
Coeur Mining Inc,Basic Materials,CDE,NYSE,$5.065,$1.3B,N/A,N/A,4.2%,0.54
Celanese Corp,Basic Materials,CE,NYSE,$160.08,$17.43B,6.52,$2.72,31.6%,1.03
Century Aluminum Co,Basic Materials,CENX,NASDAQ,$15.05,$1.36B,N/A,N/A,-20.2%,1.29
CF Industries Holdings Inc,Basic Materials,CF,NYSE,$68.36,$14.66B,49.18,$1.2,4.4%,1.27
China Green Agriculture Inc,Basic Materials,CGA,NYSE,$9.93,$84.28M,N/A,N/A,-60.6%,0.02
Ciner Resources LP,Basic Materials,CINR,NYSE,$16.99,$336.03M,18.27,$0.34,4%,0.67
Cleveland-Cliffs Inc,Basic Materials,CLF,NYSE,$20.025,$10.01B,4.85,N/A,16.3%,1.34
Clearwater Paper Corp,Basic Materials,CLW,NYSE,$36.32,$606.16M,N/A,N/A,0.7%,1.38
COMMERCIAL METALS Co,Basic Materials,CMC,NYSE,$34.02,$4.1B,9.92,$0.5,14.5%,0.47
Compass Minerals International Inc,Basic Materials,CMP,NYSE,$51.8,$1.76B,N/A,$2.31,-4.5%,3.19
Core Molding Technologies Inc,Basic Materials,CMT,NYSEAMERICAN,$8.628,$75.2M,22.12,N/A,9.5%,0.29
Contango ORE Inc,Basic Materials,CTGO,OTC,$25.79,$172.43M,N/A,N/A,-527.4%,0.2
Corteva Inc,Basic Materials,CTVA,NYSE,$45.95,$33.49B,20.7,$0.54,15.9%,0.1
DuPont de Nemours Inc,Basic Materials,DD,NYSE,$76.95,$39.87B,7.08,$1.2,27%,0.4
Danimer Scientific Inc,Basic Materials,DNMR,NYSE,$8.695,$872.49M,9.88,N/A,-24.2%,0.1
Dow Inc,Basic Materials,DOW,NYSE,$54.35,$40.2B,7.0,$2.8,16.6%,1.0
Ecolab Inc,Basic Materials,ECL,NYSE,$225.775,$64.7B,57.3,$1.95,13.9%,0.9
Ecovyst Inc,Basic Materials,ECVT,NYSE,$9.99,$1.37B,N/A,N/A,-15.5%,1.29
Eastman Chemical Co,Basic Materials,EMN,NYSE,$115.94,$15.59B,30.67,$2.83,6%,0.9
Element Solutions Inc,Basic Materials,ESI,NYSE,$23.25,$5.75B,25.27,$0.25,13.8%,0.77
Enviva Partners LP,Basic Materials,EVA,NYSE,$70.905,$4.33B,N/A,$3.22,2.2%,3.21
Eagle Materials Inc,Basic Materials,EXP,NYSE,$159.7,$6.5B,19.29,$0.75,15.8%,0.65
Freeport-Mcmoran Inc,Basic Materials,FCX,NYSE,$39.005,$57.28B,14.61,$0.23,15.6%,0.72
FutureFuel Corp,Basic Materials,FF,NYSE,$7.43,$325.16M,35.38,$2.74,0.9%,0.0
Fmc Corp,Basic Materials,FMC,NYSE,$105.635,$13.39B,23.06,$1.92,13.9%,1.17
Ferro Corp,Basic Materials,FOE,NYSE,$21.575,$1.79B,11.73,N/A,16.9%,0.72
